invoice_number,rule_triggered,risk_score,explanation,recommended_action,financial_value,risk_tier
INV0012920,Exact Duplicate Invoice,8,"Invoice INV0012920 from vendor VEND0229 for ₹67,403 appears to be an exact duplicate of INV0002574 posted 7 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,67402.52,Critical
INV0012944,Exact Duplicate Invoice,8,"Invoice INV0012944 from vendor VEND0299 for ₹52,111 appears to be an exact duplicate of INV0003797 posted 8 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,52111.0,Critical
INV0012957,Exact Duplicate Invoice,8,"Invoice INV0012957 from vendor VEND0083 for ₹1,309,025 appears to be an exact duplicate of INV0002257 posted 20 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,1309024.59,Critical
INV0012930,Exact Duplicate Invoice,8,"Invoice INV0012930 from vendor VEND0094 for ₹5,067,128 appears to be an exact duplicate of INV0007597 posted 9 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,5067128.08,Critical
INV0012881,Exact Duplicate Invoice,8,"Invoice INV0012881 from vendor VEND0096 for ₹414,606 appears to be an exact duplicate of INV0006714 posted 13 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,414605.57,Critical
INV0012980,Exact Duplicate Invoice,8,"Invoice INV0012980 from vendor VEND0097 for ₹835,377 appears to be an exact duplicate of INV0005372 posted 16 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,835377.2,Critical
INV0012975,Exact Duplicate Invoice,8,"Invoice INV0012975 from vendor VEND0099 for ₹191,978 appears to be an exact duplicate of INV0002071 posted 8 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,191977.88,Critical
INV0012905,Exact Duplicate Invoice,8,"Invoice INV0012905 from vendor VEND0099 for ₹44,055 appears to be an exact duplicate of INV0000227 posted 19 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,44055.0,Critical
INV0012951,Exact Duplicate Invoice,8,"Invoice INV0012951 from vendor VEND0101 for ₹441,135 appears to be an exact duplicate of INV0000482 posted 15 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,441135.47,Critical
INV0012946,Exact Duplicate Invoice,8,"Invoice INV0012946 from vendor VEND0104 for ₹2,345,348 appears to be an exact duplicate of INV0008462 posted 15 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,2345347.54,Critical
INV0012904,Exact Duplicate Invoice,8,"Invoice INV0012904 from vendor VEND0105 for ₹91,053 appears to be an exact duplicate of INV0005324 posted 15 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,91052.77,Critical
INV0012869,Exact Duplicate Invoice,8,"Invoice INV0012869 from vendor VEND0109 for ₹595,401 appears to be an exact duplicate of INV0011026 posted 6 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,595401.32,Critical
INV0012952,Exact Duplicate Invoice,8,"Invoice INV0012952 from vendor VEND0109 for ₹387,137 appears to be an exact duplicate of INV0010093 posted 2 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,387137.48,Critical
INV0012912,Exact Duplicate Invoice,8,"Invoice INV0012912 from vendor VEND0110 for ₹391,358 appears to be an exact duplicate of INV0011984 posted 9 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,391358.32,Critical
INV0012921,Exact Duplicate Invoice,8,"Invoice INV0012921 from vendor VEND0112 for ₹118,765 appears to be an exact duplicate of INV0010752 posted 22 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,118765.17,Critical
INV0012916,Exact Duplicate Invoice,8,"Invoice INV0012916 from vendor VEND0259 for ₹154,620 appears to be an exact duplicate of INV0011637 posted 13 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,154620.0,Critical
INV0012988,Exact Duplicate Invoice,8,"Invoice INV0012988 from vendor VEND0259 for ₹354,123 appears to be an exact duplicate of INV0002302 posted 9 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,354123.45,Critical
INV0012896,Exact Duplicate Invoice,8,"Invoice INV0012896 from vendor VEND0262 for ₹27,783 appears to be an exact duplicate of INV0007878 posted 15 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,27782.81,Critical
INV0012885,Exact Duplicate Invoice,8,"Invoice INV0012885 from vendor VEND0122 for ₹95,938 appears to be an exact duplicate of INV0006315 posted 11 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,95937.51,Critical
INV0012934,Exact Duplicate Invoice,8,"Invoice INV0012934 from vendor VEND0131 for ₹1,986,373 appears to be an exact duplicate of INV0010379 posted 24 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,1986373.11,Critical
INV0012915,Exact Duplicate Invoice,8,"Invoice INV0012915 from vendor VEND0133 for ₹113,114 appears to be an exact duplicate of INV0007134 posted 12 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,113113.58,Critical
INV0012953,Exact Duplicate Invoice,8,"Invoice INV0012953 from vendor VEND0134 for ₹22,613 appears to be an exact duplicate of INV0000567 posted 3 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,22612.57,Critical
INV0012899,Exact Duplicate Invoice,8,"Invoice INV0012899 from vendor VEND0134 for ₹20,259 appears to be an exact duplicate of INV0011055 posted 6 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,20258.55,Critical
INV0012959,Exact Duplicate Invoice,8,"Invoice INV0012959 from vendor VEND0135 for ₹2,414,829 appears to be an exact duplicate of INV0011464 posted 8 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,2414828.69,Critical
INV0012960,Exact Duplicate Invoice,8,"Invoice INV0012960 from vendor VEND0136 for ₹644,236 appears to be an exact duplicate of INV0007418 posted 24 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,644235.69,Critical
INV0012978,Exact Duplicate Invoice,8,"Invoice INV0012978 from vendor VEND0136 for ₹1,019,118 appears to be an exact duplicate of INV0004794 posted 21 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,1019117.55,Critical
INV0012968,Exact Duplicate Invoice,8,"Invoice INV0012968 from vendor VEND0136 for ₹318,120 appears to be an exact duplicate of INV0012320 posted 1 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,318119.88,Critical
INV0012974,Exact Duplicate Invoice,8,"Invoice INV0012974 from vendor VEND0136 for ₹749,988 appears to be an exact duplicate of INV0008920 posted 21 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,749988.3,Critical
INV0012972,Exact Duplicate Invoice,8,"Invoice INV0012972 from vendor VEND0138 for ₹569,084 appears to be an exact duplicate of INV0011060 posted 6 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,569083.86,Critical
INV0012973,Exact Duplicate Invoice,8,"Invoice INV0012973 from vendor VEND0139 for ₹80,026 appears to be an exact duplicate of INV0005048 posted 4 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,80025.63,Critical
INV0012895,Exact Duplicate Invoice,8,"Invoice INV0012895 from vendor VEND0139 for ₹153,962 appears to be an exact duplicate of INV0003769 posted 21 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,153962.5,Critical
INV0012897,Exact Duplicate Invoice,8,"Invoice INV0012897 from vendor VEND0082 for ₹143,459 appears to be an exact duplicate of INV0006471 posted 20 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,143458.85,Critical
INV0012984,Exact Duplicate Invoice,8,"Invoice INV0012984 from vendor VEND0082 for ₹56,557 appears to be an exact duplicate of INV0005764 posted 7 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,56557.43,Critical
INV0012871,Exact Duplicate Invoice,8,"Invoice INV0012871 from vendor VEND0083 for ₹1,891,292 appears to be an exact duplicate of INV0011571 posted 11 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,1891292.35,Critical
INV0012928,Exact Duplicate Invoice,8,"Invoice INV0012928 from vendor VEND0144 for ₹90,952 appears to be an exact duplicate of INV0000011 posted 6 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,90951.54,Critical
INV0012927,Exact Duplicate Invoice,8,"Invoice INV0012927 from vendor VEND0147 for ₹1,608,586 appears to be an exact duplicate of INV0003418 posted 12 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,1608585.72,Critical
INV0012913,Exact Duplicate Invoice,8,"Invoice INV0012913 from vendor VEND0149 for ₹1,718,516 appears to be an exact duplicate of INV0002976 posted 25 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,1718516.0,Critical
INV0012947,Exact Duplicate Invoice,8,"Invoice INV0012947 from vendor VEND0149 for ₹2,628,482 appears to be an exact duplicate of INV0001140 posted 18 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,2628482.4,Critical
INV0012886,Exact Duplicate Invoice,8,"Invoice INV0012886 from vendor VEND0151 for ₹149,600 appears to be an exact duplicate of INV0008713 posted 16 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,149600.36,Critical
INV0012870,Exact Duplicate Invoice,8,"Invoice INV0012870 from vendor VEND0152 for ₹14,810 appears to be an exact duplicate of INV0004133 posted 18 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,14809.62,Critical
INV0012936,Exact Duplicate Invoice,8,"Invoice INV0012936 from vendor VEND0155 for ₹323,261 appears to be an exact duplicate of INV0007823 posted 3 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,323261.16,Critical
INV0012969,Exact Duplicate Invoice,8,"Invoice INV0012969 from vendor VEND0156 for ₹976,130 appears to be an exact duplicate of INV0006629 posted 20 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,976129.61,Critical
INV0012941,Exact Duplicate Invoice,8,"Invoice INV0012941 from vendor VEND0174 for ₹48,081 appears to be an exact duplicate of INV0001530 posted 1 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,48080.88,Critical
INV0012965,Exact Duplicate Invoice,8,"Invoice INV0012965 from vendor VEND0191 for ₹66,027 appears to be an exact duplicate of INV0005290 posted 4 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,66027.17,Critical
INV0012900,Exact Duplicate Invoice,8,"Invoice INV0012900 from vendor VEND0192 for ₹36,948 appears to be an exact duplicate of INV0006842 posted 21 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,36948.28,Critical
INV0012893,Exact Duplicate Invoice,8,"Invoice INV0012893 from vendor VEND0195 for ₹216,704 appears to be an exact duplicate of INV0002415 posted 1 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,216704.03,Critical
INV0012917,Exact Duplicate Invoice,8,"Invoice INV0012917 from vendor VEND0195 for ₹211,117 appears to be an exact duplicate of INV0010738 posted 22 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,211116.9,Critical
INV0012971,Exact Duplicate Invoice,8,"Invoice INV0012971 from vendor VEND0113 for ₹306,038 appears to be an exact duplicate of INV0010990 posted 22 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,306037.7,Critical
INV0012967,Exact Duplicate Invoice,8,"Invoice INV0012967 from vendor VEND0118 for ₹433,714 appears to be an exact duplicate of INV0011847 posted 14 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,433713.71,Critical
INV0012939,Exact Duplicate Invoice,8,"Invoice INV0012939 from vendor VEND0118 for ₹469,211 appears to be an exact duplicate of INV0007408 posted 3 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,469211.29,Critical
INV0012922,Exact Duplicate Invoice,8,"Invoice INV0012922 from vendor VEND0206 for ₹160,903 appears to be an exact duplicate of INV0001672 posted 15 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,160902.98,Critical
INV0012874,Exact Duplicate Invoice,8,"Invoice INV0012874 from vendor VEND0206 for ₹137,538 appears to be an exact duplicate of INV0012016 posted 23 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,137537.71,Critical
INV0012903,Exact Duplicate Invoice,8,"Invoice INV0012903 from vendor VEND0209 for ₹471,376 appears to be an exact duplicate of INV0004868 posted 16 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,471376.45,Critical
INV0012877,Exact Duplicate Invoice,8,"Invoice INV0012877 from vendor VEND0209 for ₹239,180 appears to be an exact duplicate of INV0006764 posted 1 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,239180.47,Critical
INV0012935,Exact Duplicate Invoice,8,"Invoice INV0012935 from vendor VEND0210 for ₹49,859 appears to be an exact duplicate of INV0001253 posted 25 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,49859.19,Critical
INV0012931,Exact Duplicate Invoice,8,"Invoice INV0012931 from vendor VEND0215 for ₹789,690 appears to be an exact duplicate of INV0004032 posted 12 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,789690.46,Critical
INV0012875,Exact Duplicate Invoice,8,"Invoice INV0012875 from vendor VEND0216 for ₹204,326 appears to be an exact duplicate of INV0010773 posted 22 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,204325.52,Critical
INV0012949,Exact Duplicate Invoice,8,"Invoice INV0012949 from vendor VEND0217 for ₹207,002 appears to be an exact duplicate of INV0003639 posted 24 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,207002.44,Critical
INV0012914,Exact Duplicate Invoice,8,"Invoice INV0012914 from vendor VEND0217 for ₹78,846 appears to be an exact duplicate of INV0008729 posted 11 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,78846.03,Critical
INV0012907,Exact Duplicate Invoice,8,"Invoice INV0012907 from vendor VEND0217 for ₹151,770 appears to be an exact duplicate of INV0001576 posted 8 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,151769.95,Critical
INV0012977,Exact Duplicate Invoice,8,"Invoice INV0012977 from vendor VEND0217 for ₹118,521 appears to be an exact duplicate of INV0001818 posted 17 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,118521.46,Critical
INV0012985,Exact Duplicate Invoice,8,"Invoice INV0012985 from vendor VEND0219 for ₹5,074,867 appears to be an exact duplicate of INV0010106 posted 20 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,5074866.83,Critical
INV0012919,Exact Duplicate Invoice,8,"Invoice INV0012919 from vendor VEND0219 for ₹2,745,958 appears to be an exact duplicate of INV0008095 posted 2 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,2745958.3,Critical
INV0012956,Exact Duplicate Invoice,8,"Invoice INV0012956 from vendor VEND0140 for ₹176,862 appears to be an exact duplicate of INV0012171 posted 2 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,176861.54,Critical
INV0012955,Exact Duplicate Invoice,8,"Invoice INV0012955 from vendor VEND0142 for ₹176,988 appears to be an exact duplicate of INV0009231 posted 21 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,176988.27,Critical
INV0012942,Exact Duplicate Invoice,8,"Invoice INV0012942 from vendor VEND0144 for ₹92,884 appears to be an exact duplicate of INV0006436 posted 17 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,92883.76,Critical
INV0012888,Exact Duplicate Invoice,8,"Invoice INV0012888 from vendor VEND0230 for ₹81,127 appears to be an exact duplicate of INV0008167 posted 10 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,81127.23,Critical
INV0012890,Exact Duplicate Invoice,8,"Invoice INV0012890 from vendor VEND0235 for ₹81,261 appears to be an exact duplicate of INV0001752 posted 17 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,81260.9,Critical
INV0012976,Exact Duplicate Invoice,8,"Invoice INV0012976 from vendor VEND0238 for ₹108,705 appears to be an exact duplicate of INV0002317 posted 19 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,108705.12,Critical
INV0012981,Exact Duplicate Invoice,8,"Invoice INV0012981 from vendor VEND0242 for ₹76,344 appears to be an exact duplicate of INV0003139 posted 18 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,76344.49,Critical
INV0012924,Exact Duplicate Invoice,8,"Invoice INV0012924 from vendor VEND0243 for ₹805,740 appears to be an exact duplicate of INV0007086 posted 1 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,805739.63,Critical
INV0012887,Exact Duplicate Invoice,8,"Invoice INV0012887 from vendor VEND0243 for ₹499,551 appears to be an exact duplicate of INV0002537 posted 12 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,499551.21,Critical
INV0012962,Exact Duplicate Invoice,8,"Invoice INV0012962 from vendor VEND0244 for ₹185,545 appears to be an exact duplicate of INV0005345 posted 19 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,185544.6,Critical
INV0012954,Exact Duplicate Invoice,8,"Invoice INV0012954 from vendor VEND0246 for ₹371,868 appears to be an exact duplicate of INV0003060 posted 17 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,371868.35,Critical
INV0012876,Exact Duplicate Invoice,8,"Invoice INV0012876 from vendor VEND0246 for ₹517,067 appears to be an exact duplicate of INV0006991 posted 20 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,517066.8,Critical
INV0012902,Exact Duplicate Invoice,8,"Invoice INV0012902 from vendor VEND0247 for ₹526,056 appears to be an exact duplicate of INV0010566 posted 19 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,526055.89,Critical
INV0012937,Exact Duplicate Invoice,8,"Invoice INV0012937 from vendor VEND0247 for ₹938,806 appears to be an exact duplicate of INV0000109 posted 24 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,938805.72,Critical
INV0012880,Exact Duplicate Invoice,8,"Invoice INV0012880 from vendor VEND0254 for ₹80,530 appears to be an exact duplicate of INV0012123 posted 6 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,80529.83,Critical
INV0012891,Exact Duplicate Invoice,8,"Invoice INV0012891 from vendor VEND0258 for ₹106,913 appears to be an exact duplicate of INV0002937 posted 12 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,106913.28,Critical
INV0012938,Exact Duplicate Invoice,8,"Invoice INV0012938 from vendor VEND0197 for ₹47,873 appears to be an exact duplicate of INV0012348 posted 1 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,47872.98,Critical
INV0012958,Exact Duplicate Invoice,8,"Invoice INV0012958 from vendor VEND0203 for ₹189,178 appears to be an exact duplicate of INV0007933 posted 19 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,189177.55,Critical
INV0012986,Exact Duplicate Invoice,8,"Invoice INV0012986 from vendor VEND0204 for ₹109,029 appears to be an exact duplicate of INV0010834 posted 25 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,109029.19,Critical
INV0012909,Exact Duplicate Invoice,8,"Invoice INV0012909 from vendor VEND0268 for ₹115,021 appears to be an exact duplicate of INV0000195 posted 23 days earlier with the same vendor invoice reference number.",Place payment hold. Contact vendor to confirm only one invoice is outstanding. Investigate AP processor who posted both.,115020.85,Critical
