invoice_number,invoice_date,due_date,payment_date,vendor_id,po_number,gr_number,invoice_amount,tax_amount,total_amount,invoice_status,cost_centre,department,composite_risk_score,risk_tier,ml_component,rule_component,value_component,rule_triggered,rule_risk_score,full_explanation,tier_recommended_action,anomaly_flag,anomaly_type,iso_score,ae_score,ensemble_score,feat_amount_zscore,feat_invoice_to_po_ratio,feat_vendor_age_days,feat_days_to_payment,feat_after_hours,feat_no_po,feat_round_number,shap_explanation
INV0005042,2023-12-11 11:58:00,2024-03-08 09:47:00,,VEND0219,PO007930,GR005042,4001563.13,720281.36,4721844.49,Open,CC018,Finance,57.9,High,33.1669961833783,60.0,94.3366836094922,Near-Duplicate Invoice,6.0,"Invoice INV0005042 (₹4,001,563) is 0.1% different from invoice INV0001320 (₹4,004,253) from the same vendor, posted 16 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5696139559222726,0.190061359279425,0.2763686193136947,0.6476683784800934,0.9850830402670336,574,90.0,0,0,0,This invoice was flagged primarily because this vendor submitted 2 invoices in the same month.
INV0005469,2022-02-22 11:54:00,2022-04-08 18:31:00,2022-04-07 18:31:00,VEND0054,PO008605,GR005469,1835536.7,330396.61,2165933.31,Paid,CC016,Sales,55.3,High,33.68079091901484,60.0,83.21642439346655,New Vendor Fast Payment,6.0,"Invoice INV0005469 for ₹1,835,537 was received from vendor VEND0054 only -95 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5725687153650489,0.179269076426323,0.2806498252548488,1.2030227428200726,1.0153603328372578,0,44.0,0,0,0,No single dominant risk factor identified.
INV0005919,2022-05-16 10:03:00,2022-08-12 10:13:00,2022-08-22 10:13:00,VEND0060,PO009324,GR005919,4997467.01,899544.06,5897011.07,Paid,CC015,Marketing,56.7,High,28.31339734516903,60.0,97.50783996016902,New Vendor Fast Payment,6.0,"Invoice INV0005919 for ₹4,997,467 was received from vendor VEND0060 only -10 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.541711600465856,0.266619104351507,0.2359259001870048,1.321817170971173,0.999493402,0,98.0,0,0,0,No single dominant risk factor identified.
INV0006008,2022-04-08 13:46:00,2022-07-07 14:17:00,2022-07-13 14:17:00,VEND0153,PO009461,GR006008,4913297.77,884393.6,5797691.37,Paid,CC008,Sales,59.3,High,35.044700976639064,60.0,97.26547482056829,Near-Duplicate Invoice,6.0,"Invoice INV0006008 (₹4,913,298) is 1.2% different from invoice INV0000441 (₹4,855,264) from the same vendor, posted 22 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5803374604750818,0.3409803549727766,0.2920146358239306,1.397069105029734,0.982659554,0,96.0,0,0,0,No single dominant risk factor identified.
INV0006020,2022-06-20 12:52:00,2022-08-04 16:00:00,2022-08-09 16:00:00,VEND0094,PO009478,GR006020,3217573.94,579163.31,3796737.25,Paid,CC016,Admin,55.2,High,28.362201816934483,60.0,91.22529449527524,Near-Duplicate Invoice,6.0,"Invoice INV0006020 (₹3,217,574) is 1.7% different from invoice INV0000313 (₹3,273,633) from the same vendor, posted 13 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5419938853287294,0.261483617540999,0.2363325645219718,0.2139406458204204,1.0193414994877574,51,50.0,0,0,0,This invoice was flagged primarily because this vendor submitted 3 invoices in the same month.
INV0006776,2023-11-09 16:09:00,2024-01-08 12:18:00,2024-01-04 12:18:00,VEND0014,PO010657,GR006776,4940384.16,889269.15,5829653.31,Paid,CC020,HR,62.8,High,43.68213493129117,60.0,97.34392016174974,Near-Duplicate Invoice,6.0,"Invoice INV0006776 (₹4,940,384) is 0.8% different from invoice INV0003314 (₹4,903,476) from the same vendor, posted 5 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6299495594360788,0.3134001141723511,0.3639862443246881,1.8229886824179984,0.988076832,631,55.0,0,0,0,No single dominant risk factor identified.
INV0006833,2022-02-18 10:49:00,2022-05-19 10:00:00,2022-05-23 10:00:00,VEND0145,PO010733,GR006833,4937514.48,888752.61,5826267.09,Paid,CC001,Procurement,58.2,High,32.278133195445214,60.0,97.33562962989302,New Vendor Fast Payment,6.0,"Invoice INV0006833 for ₹4,937,514 was received from vendor VEND0145 only -32 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5644666296613182,0.2992128603331414,0.2689621489066037,1.5519886550214657,0.987502896,0,93.0,0,0,0,No single dominant risk factor identified.
INV0007005,2022-05-04 17:19:00,2022-07-03 10:34:00,2022-07-10 10:34:00,VEND0179,PO011024,GR007005,4927469.25,886944.46,5814413.71,Paid,CC008,Finance,60.2,High,37.14456798721116,60.0,97.30657086599382,New Vendor Fast Payment,6.0,"Invoice INV0007005 for ₹4,927,469 was received from vendor VEND0179 only 7 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5924655439216874,0.1645922803809585,0.3095118238987699,1.7785477778672676,0.98549385,7,66.0,0,0,0,No single dominant risk factor identified.
INV0007051,2023-05-08 09:49:00,2023-06-07 14:28:00,2023-06-09 14:28:00,VEND0094,PO011101,GR007051,5081937.98,914748.84,5996686.82,Paid,CC016,Sales,59.2,High,34.485716438316864,60.0,97.74700419233815,Near-Duplicate Invoice,6.0,"Invoice INV0007051 (₹5,081,938) is 0.9% different from invoice INV0001237 (₹5,037,887) from the same vendor, posted 4 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5770857662671827,0.4468911339270223,0.2873568848574606,1.6063528245761194,1.0163875960000002,373,32.0,0,0,0,This invoice was flagged primarily because the vendor was created only 373 days before this invoice was submitted.
INV0007139,2022-09-23 13:50:00,2022-12-22 15:29:00,2022-12-28 15:29:00,VEND0297,PO011242,GR007139,3202349.83,576422.97,3778772.8,Paid,CC018,Finance,55.8,High,30.103047359554783,60.0,91.15762136223408,Near-Duplicate Invoice,6.0,"Invoice INV0007139 (₹3,202,350) is 1.4% different from invoice INV0003014 (₹3,158,297) from the same vendor, posted 25 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5520291115055647,0.1642435347274225,0.2508381983145492,0.0995794263592582,0.9740518012720086,261,96.0,0,0,0,This invoice was flagged primarily because the invoice amount is 0.1 standard deviations from this vendor's historical average.
INV0008118,2024-01-29 14:41:00,2024-02-28 09:52:00,2024-03-06 09:52:00,VEND0188,PO012735,GR008118,5015258.08,902746.45,5918004.53,Paid,CC008,R&D,57.7,High,30.70913409584123,60.0,97.55854646886765,Near-Duplicate Invoice,6.0,"Invoice INV0008118 (₹5,015,258) is 1.9% different from invoice INV0005196 (₹4,921,581) from the same vendor, posted 13 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5555265259157929,0.1212781847270768,0.2558884293820777,1.6253735300359506,1.003051616,630,36.0,0,0,0,No single dominant risk factor identified.
INV0008252,2022-02-21 08:09:00,2022-05-22 10:12:00,2022-05-17 10:12:00,VEND0004,PO012948,GR008252,1880318.98,338457.42,2218776.4,Paid,CC016,Finance,56.0,High,35.32603260527085,60.0,83.56036362704445,New Vendor Fast Payment,6.0,"Invoice INV0008252 for ₹1,880,319 was received from vendor VEND0004 only -12 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5819523535173522,0.3427067061894638,0.2943588378104317,1.6059819495312313,1.01610279988156,0,85.0,0,0,0,No single dominant risk factor identified.
INV0008337,2023-08-18 18:52:00,2023-10-17 09:31:00,2023-10-24 09:31:00,VEND0019,PO013084,GR008337,5037477.31,906745.92,5944223.23,Paid,CC017,Admin,55.3,High,24.70667740643871,60.0,97.6216217125234,Near-Duplicate Invoice,6.0,"Invoice INV0008337 (₹5,037,477) is 0.4% different from invoice INV0003182 (₹5,058,428) from the same vendor, posted 4 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5210566111773898,0.1219486499817373,0.2058728269287874,1.4984738751569635,1.0074954619999998,478,66.0,0,0,0,This invoice was flagged primarily because this vendor submitted 2 invoices in the same month.
INV0008488,2023-07-20 11:35:00,2023-09-18 17:15:00,2023-09-13 17:15:00,VEND0219,PO013324,GR008488,5086665.66,915599.82,6002265.48,Paid,CC018,Legal,59.0,High,33.931905054374226,60.0,97.76027203345303,Near-Duplicate Invoice,6.0,"Invoice INV0008488 (₹5,086,666) is 0.2% different from invoice INV0003101 (₹5,096,658) from the same vendor, posted 30 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5739463858187956,0.3428694366218866,0.2827422393136976,1.5300438157024614,1.017333132,430,55.0,0,0,0,No single dominant risk factor identified.
INV0008662,2022-04-05 16:49:00,2022-07-04 09:10:00,2022-07-02 09:10:00,VEND0219,PO013602,GR008662,4783359.18,861004.65,5644363.83,Paid,CC001,R&D,57.3,High,30.154056951453057,60.0,96.8830416193358,New Vendor Fast Payment,6.0,"Invoice INV0008662 for ₹4,783,359 was received from vendor VEND0219 only -41 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5522805917302839,0.2695750887262386,0.2512632368615482,1.2834033550057402,1.0106824621945192,0,87.0,0,0,0,No single dominant risk factor identified.
INV0008882,2022-08-09 08:53:00,2022-11-07 11:03:00,2022-11-06 11:03:00,VEND0095,PO013923,GR008882,4898411.63,881714.09,5780125.72,Paid,CC008,Operations,56.1,High,27.03464370207442,60.0,97.22217847617216,Near-Duplicate Invoice,6.0,"Invoice INV0008882 (₹4,898,412) is 0.7% different from invoice INV0000081 (₹4,864,947) from the same vendor, posted 15 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5343948366869422,0.1990322849614231,0.2252706573159258,1.4932921372508472,0.979682326,179,89.0,0,0,0,No single dominant risk factor identified.
INV0009369,2022-06-20 11:15:00,2022-09-16 14:54:00,2022-09-21 14:54:00,VEND0149,PO014683,GR009369,5149869.1,926976.44,6076845.54,Paid,CC017,Finance,58.7,High,33.11338397689001,60.0,97.9364723756578,Near-Duplicate Invoice,6.0,"Invoice INV0009369 (₹5,149,869) is 1.1% different from invoice INV0009019 (₹5,093,143) from the same vendor, posted 13 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5692318497931956,0.3787143626640258,0.2759218944233517,1.853817360947392,1.02997382,137,93.0,0,0,0,No single dominant risk factor identified.
INV0009952,2022-04-20 15:25:00,2022-07-19 09:20:00,2022-07-24 09:20:00,VEND0094,PO015606,GR009952,2953415.86,531614.85,3485030.71,Paid,CC020,Procurement,55.0,High,28.66261919581677,60.0,90.00296590771687,New Vendor Fast Payment,6.0,"Invoice INV0009952 for ₹2,953,416 was received from vendor VEND0094 only -10 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5437580424531965,0.1624135698554065,0.2388357989424323,0.0166524983249762,0.9946379622800446,0,94.0,0,0,0,No single dominant risk factor identified.
INV0010034,2022-02-17 11:43:00,2022-04-03 10:28:00,2022-04-11 10:28:00,VEND0014,PO015747,GR010034,4859357.24,874684.3,5734041.54,Paid,CC004,Finance,55.2,High,24.793072421164084,60.0,97.10796032537856,New Vendor Fast Payment,6.0,"Invoice INV0010034 for ₹4,859,357 was received from vendor VEND0014 only 1 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5214880083547487,0.2864608866448052,0.2065927152901777,1.7583049049076664,0.971871448,1,52.0,0,0,0,No single dominant risk factor identified.
INV0010331,2023-02-16 08:28:00,2023-05-17 10:13:00,2023-05-26 10:13:00,VEND0250,PO016228,GR010331,5132698.93,923885.81,6056584.74,Paid,CC007,R&D,60.9,High,38.63476189422037,60.0,97.88881974449856,Near-Duplicate Invoice,6.0,"Invoice INV0010331 (₹5,132,699) is 1.2% different from invoice INV0007766 (₹5,069,474) from the same vendor, posted 27 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6008842679939124,0.517458006768632,0.3219288974218289,1.4306704363725915,1.0265397859999998,305,99.0,0,0,0,No single dominant risk factor identified.
INV0010386,2022-03-03 09:20:00,2022-05-02 11:22:00,2022-05-06 11:22:00,VEND0270,PO016309,GR010386,4713355.11,848403.92,5561759.03,Paid,CC001,HR,56.3,High,27.91161247440723,60.0,96.67267769909758,New Vendor Fast Payment,6.0,"Invoice INV0010386 for ₹4,713,355 was received from vendor VEND0270 only -34 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5394066633843656,0.2606496837278423,0.2325780189097858,1.4393290155317535,0.9786245467721888,0,64.0,0,0,0,No single dominant risk factor identified.
INV0010441,2022-07-14 15:10:00,2022-08-28 13:09:00,2022-08-26 13:09:00,VEND0135,PO016393,GR010441,5140065.61,925211.81,6065277.42,Paid,CC020,Legal,64.2,High,46.84181590363082,60.0,97.90928409773952,Near-Duplicate Invoice,6.0,"Invoice INV0010441 (₹5,140,066) is 1.7% different from invoice INV0012333 (₹5,055,929) from the same vendor, posted 9 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.648049973837272,0.4260829012008503,0.3903143555580066,1.637655909570992,1.0280131220000002,49,42.0,0,0,0,No single dominant risk factor identified.
INV0010544,2022-01-24 08:25:00,2022-03-23 08:15:00,2022-04-01 08:15:00,VEND0179,PO016565,GR010544,4872876.48,877117.77,5749994.25,Paid,CC015,Marketing,57.3,High,30.041027100168083,60.0,97.14760213765967,New Vendor Fast Payment,6.0,"Invoice INV0010544 for ₹4,872,876 was received from vendor VEND0179 only -93 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5515961574813651,0.3594122981496669,0.2503214131384042,1.7363447541256365,0.974575296,0,66.0,0,0,0,No single dominant risk factor identified.
INV0010676,2022-02-09 08:39:00,2022-03-11 08:45:00,2022-03-10 08:45:00,VEND0219,PO016771,GR010676,5014408.25,902593.48,5917001.73,Paid,CC016,R&D,61.0,High,39.12972612875845,60.0,97.55612845353626,New Vendor Fast Payment,6.0,"Invoice INV0010676 for ₹5,014,408 was received from vendor VEND0219 only -96 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6036951706963904,0.5974452362126472,0.3260531977981999,1.4712860836185575,1.00288165,0,29.0,0,0,0,No single dominant risk factor identified.
INV0011430,2022-09-09 15:59:00,2022-11-08 16:19:00,2022-11-05 16:19:00,VEND0145,PO017904,GR011430,4234417.95,762195.23,4996613.18,Paid,CC010,IT,56.3,High,28.776779410856317,60.0,95.14373112992286,Near-Duplicate Invoice,6.0,"Invoice INV0011430 (₹4,234,418) is 1.2% different from invoice INV0006223 (₹4,287,044) from the same vendor, posted 20 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5444146152620882,0.1598787199290484,0.2397870414464358,1.057246724588004,0.9930537539894706,171,57.0,0,0,0,This invoice was flagged primarily because the vendor was created only 171 days before this invoice was submitted.
INV0011735,2022-02-10 10:02:00,2022-03-12 14:27:00,2022-03-10 14:27:00,VEND0117,PO018359,GR011735,4839085.72,871035.43,5710121.15,Paid,CC016,Finance,62.6,High,43.444153406278346,60.0,97.04831197961484,New Vendor Fast Payment,6.0,"Invoice INV0011735 for ₹4,839,086 was received from vendor VEND0117 only -9 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6284461851219368,0.6609150729924588,0.3620032580305456,1.9989764818859983,1.0106943815669585,0,28.0,0,0,0,No single dominant risk factor identified.
INV0012082,2022-07-28 14:41:00,2022-10-26 16:00:00,2022-11-04 16:00:00,VEND0261,PO018950,GR012082,5013758.87,902476.6,5916235.47,Paid,CC018,Procurement,61.0,High,39.04806647076892,60.0,97.55428050095676,Near-Duplicate Invoice,6.0,"Invoice INV0012082 (₹5,013,759) is 1.5% different from invoice INV0006095 (₹5,088,559) from the same vendor, posted 21 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6032913842319901,0.4318719875453859,0.3253727669010163,1.6462918658629742,1.002751774,95,99.0,0,0,0,No single dominant risk factor identified.
INV0012102,2022-07-04 08:59:00,2022-08-18 17:47:00,2022-08-24 17:47:00,VEND0135,PO018984,GR012102,5148729.37,926771.29,6075500.66,Paid,CC018,Procurement,64.3,High,46.96753902765365,60.0,97.93331419234754,Near-Duplicate Invoice,6.0,"Invoice INV0012102 (₹5,148,729) is 0.3% different from invoice INV0001177 (₹5,133,572) from the same vendor, posted 6 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6487820724041327,0.4003589158387143,0.3913619462555643,1.6434617235429154,1.029745874,39,51.0,0,0,0,No single dominant risk factor identified.
INV0012192,2022-03-03 17:32:00,2022-05-02 13:31:00,2022-05-04 13:31:00,VEND0049,PO019116,GR012192,4961478.48,893066.13,5854544.61,Paid,CC008,Legal,56.1,High,26.984588948401083,60.0,97.40471444805183,New Vendor Fast Payment,6.0,"Invoice INV0012192 for ₹4,961,478 was received from vendor VEND0049 only -23 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5340906922824272,0.2414740893524897,0.224853574979448,1.5154777161787,0.992295696,0,61.0,0,0,0,No single dominant risk factor identified.
INV0012276,2022-05-12 13:08:00,2022-08-10 12:06:00,2022-08-06 12:06:00,VEND0135,PO019242,GR012276,4948525.56,890734.6,5839260.16,Paid,CC005,Procurement,57.2,High,29.67379065317418,60.0,97.36741455608109,New Vendor Fast Payment,6.0,"Invoice INV0012276 for ₹4,948,526 was received from vendor VEND0135 only -14 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.549507537409326,0.307902884259464,0.2472614073624968,1.5092998726455753,0.989705112,0,85.0,0,0,0,No single dominant risk factor identified.
